1,1570.5
2,1568.7
3,1568
4,1590.9
5,1616.1
6,1644.6
7,1654.1
8,1658
9,1633.2
10,1628.4
11,1646.7
12,1629.9
13,1696.8
14,1747.3
15,1815.8
16,1848.9
17,1871.3
18,1903.1
19,1941.1
20,1944.4
21,1964.7
22,1966
23,1978.8
24,2043.8
25,2082.3
26,2098.1
27,2085.4
28,2052.5
29,2042.4
30,2044.3
31,2066.9
32,2107.8
33,2168.5
34,2204
35,2233.4
36,2245.3
37,2234.8
38,2252.5
39,2249.8
40,2286.5
41,2300.3
42,2294.6
43,2317
44,2292.5
45,2230.2
46,2243.4
47,2295.2
48,2348
49,2392.9
50,2455.8
51,2453.9
52,2462.6
53,2517.4
54,2504.8
55,2508.7
56,2476.2
57,2491.2
58,2538
59,2579.1
60,2631.8
61,2679.1
62,2708.4
63,2733.3
64,2740
65,2775.9
66,2810.6
67,2863.5
68,2885.8
69,2950.5
70,2984.8
71,3025.5
72,3033.6
73,3108.2
74,3150.2
75,3214.1
76,3291.8
77,3372.3
78,3384
79,3406.3
80,3433.7
81,3464.1
82,3464.3
83,3491.8
84,3518.2
85,3590.7
86,3651.6
87,3676.5
88,3692
89,3750.2
90,3760.9
91,3784.2
92,3766.3
93,3760
94,3767.1
95,3800.5
96,3759.8
97,3864.1
98,3885.9
99,3916.7
100,3927.9
101,3997.7
102,4092.1
103,4131.1
104,4198.7
105,4305.3
106,4355.1
107,4331.9
108,4373.3
109,4335.4
110,4347.9
111,4305.8
112,4288.9
113,4237.6
114,4268.6
115,4340.9
116,4397.8
117,4496.8
118,4530.3
119,4552
120,4584.6
121,4640
122,4731.1
123,4815.8
124,4815.3
125,4830.8
126,5021.2
127,5070.7
128,5137.4
129,5147.4
130,5152.3
131,5189.4
132,5204.7
133,5221.3
134,5115.9
135,5107.4
136,5202.1
137,5307.5
138,5266.1
139,5329.8
140,5263.4
141,5177.1
142,5204.9
143,5185.2
144,5189.8
145,5253.8
146,5372.3
147,5478.4
148,5590.5
149,5699.8
150,5797.9
151,5854.3
152,5902.4
153,5956.9
154,6007.8
155,6101.7
156,6148.6
157,6207.4
158,6232
159,6291.7
160,6323.4
161,6365
162,6435
163,6493.4
164,6606.8
165,6639.1
166,6723.5
167,6759.4
168,6848.6
169,6918.1
170,6963.5
171,7013.1
172,7030.9
173,7112.1
174,7130.3
175,7130.8
176,7076.9
177,7040.8
178,7086.5
179,7120.7
180,7154.1
181,7228.2
182,7297.9
183,7369.5
184,7450.7
185,7459.7
186,7497.5
187,7536
188,7637.4
189,7715.1
190,7815.7
191,7859.5
192,7951.6
193,7973.7
194,7988
195,8053.1
196,8112
197,8169.2
198,8303.1
199,8372.7
200,8470.6
201,8536.1
202,8665.8
203,8773.7
204,8838.4
205,8936.2
206,8995.3
207,9098.9
208,9237.1
209,9315.5
210,9392.6
211,9502.2
212,9671.1
213,9695.6
214,9847.9
215,9836.6
216,9887.7
217,9875.6
218,9905.9
219,9871.1
220,9910
221,9993.5
222,10052.6
223,10117.3
224,10135.9
225,10184.4
226,10287.4
227,10472.8
228,10580.7
229,10697.5
230,10784.7
231,10891
232,10994.3
